example_id                                                      | status | run_time        |
./spec/smoke/jive_widget/more_like_this_widget_spec.rb[1:1]     | passed | 0.04788 seconds |
./spec/smoke/jive_widget/move_widget_spec.rb[1:1]               | passed | 0.11259 seconds |
./spec/smoke/jive_widget/move_widget_spec.rb[1:2]               | passed | 0.14421 seconds |
./spec/smoke/jive_widget/move_widget_spec.rb[1:3]               | passed | 0.0528 seconds  |
./spec/smoke/jive_widget/publish_bar_widget_spec.rb[1:1]        | passed | 0.11301 seconds |
./spec/smoke/jive_widget/publish_bar_widget_spec.rb[1:2]        | passed | 0.05847 seconds |
./spec/smoke/jive_widget/rating_widget_spec.rb[1:1]             | passed | 0.07615 seconds |
./spec/smoke/jive_widget/rating_widget_spec.rb[1:2]             | passed | 0.07958 seconds |
./spec/smoke/jive_widget/request_a_group_widget_spec.rb[1:1]    | passed | 0.12984 seconds |
./spec/smoke/jive_widget/shared_feed_items_widget_spec.rb[1:1]  | passed | 0.46816 seconds |
./spec/smoke/jive_widget/shared_feed_items_widget_spec.rb[1:2]  | passed | 0.04797 seconds |
./spec/smoke/jive_widget/short_profle_widget_spec.rb[1:1]       | passed | 0.07167 seconds |
./spec/smoke/jive_widget/short_profle_widget_spec.rb[1:2]       | passed | 0.1014 seconds  |
./spec/smoke/jive_widget/tags_widget_spec.rb[1:1]               | passed | 0.05678 seconds |
./spec/smoke/jive_widget/tags_widget_spec.rb[1:2]               | passed | 0.0601 seconds  |
./spec/smoke/jive_widget/user_connections_widget_spec.rb[1:1]   | passed | 0.06334 seconds |
./spec/smoke/jive_widget/user_relationships_widget_spec.rb[1:1] | passed | 0.05452 seconds |
./spec/smoke/jive_widget/user_relationships_widget_spec.rb[1:2] | passed | 0.0464 seconds  |
./spec/smoke/jive_widget/user_relationships_widget_spec.rb[1:3] | passed | 0.05131 seconds |
./spec/smoke/jive_widget/user_relationships_widget_spec.rb[1:4] | passed | 0.05308 seconds |
./spec/smoke/jive_widget/user_relationships_widget_spec.rb[1:5] | passed | 0.06049 seconds |
./spec/smoke/jive_widget/user_relationships_widget_spec.rb[1:6] | passed | 0.05708 seconds |
./spec/smoke/jive_widget/user_search_widget_spec.rb[1:1]        | passed | 0.08486 seconds |
./spec/smoke/jive_widget/user_search_widget_spec.rb[1:2]        | passed | 0.97549 seconds |
./spec/smoke/jive_widget/user_search_widget_spec.rb[1:3]        | passed | 0.04422 seconds |
./spec/smoke/jive_widget/user_search_widget_spec.rb[1:4]        | passed | 0.06239 seconds |
./spec/smoke/jive_widget/wysiwyg_widget_spec.rb[1:1]            | passed | 0.62692 seconds |
./spec/smoke/jive_widget/wysiwyg_widget_spec.rb[1:2]            | passed | 0.10432 seconds |
./spec/smoke/jive_widget/wysiwyg_widget_spec.rb[1:3]            | passed | 0.50559 seconds |
./spec/smoke/jive_widget/wysiwyg_widget_spec.rb[1:4]            | passed | 0.12728 seconds |
./spec/smoke/jive_widget/wysiwyg_widget_spec.rb[1:5]            | passed | 0.04488 seconds |
./spec/smoke/jive_widget/wysiwyg_widget_spec.rb[1:6]            | passed | 0.04475 seconds |
